"nome","resumo","coordenador"
"REOLOGIA DE MATERIAIS","Em breve este conteúdo estará disponível.","Alex Da Silva Sirqueira "
"TERMOPLÁSTICO ELASTOMÉRICO VULCANIZADO","Em breve este conteúdo estará disponível.","Alex Da Silva Sirqueira "
"MONITORIA EM QUÍMICA INORGÂNICA","Em breve este conteúdo estará disponível.","Ana Isabel De Carvalho Santana "
"MONITORIA EM TÉCNICAS ELETROQUÍMICAS","Em breve este conteúdo estará disponível.","Ana Isabel De Carvalho Santana "
"MONITORIA PARA QUÍMICA DOS MATERIAIS","Em breve este conteúdo estará disponível.","Leticia Dos Santos Aguilera "
"MONITORIA EM PLANEJAMENTO DE EXPERIMENTOS","Em breve este conteúdo estará disponível.","Neyda De La Caridad Om Tapanes "
"MONITORIA EM FENÔMENOS DE TRANSPORTE I","Em breve este conteúdo estará disponível.","Neyda De La Caridad Om Tapanes "
"LABORATÓRIO VIRTUAL DE TERMODINÂMICA PARA OS CURSOS DE ENGENHARIA METALÚRGICA E DE MATERIAIS","Em breve este conteúdo estará disponível.","Nilton Rosembach Junior "
"MONITORIA DISCIPLINA DESENHO TÉCNICO","Em breve este conteúdo estará disponível.","Paula De Castro Brasil "
"DESENHO UNIVERSAL E ACESSIBILIDADE: DIRETRIZES PARA ADAPTAÇÃO DE AMBIENTES DE ENSINO","Em breve este conteúdo estará disponível.","Paula De Castro Brasil "
"MONITORIA DA DISCIPLINA CIÊNCIAS AMBIENTAIS (ENG 3711)","Em breve este conteúdo estará disponível.","Roberta Gaidzinski "
"MONITORIA DA DISCIPLINA QUÍMICA GERAL EXPERIMENTAL (ENG 1621)","Em breve este conteúdo estará disponível.","Roberta Gaidzinski "
"UMA NOVA ABORDAGEM PARA O ENSINO DE FÍSICA NOS CURSOS DE ENGENHARIA:DESENVOLVIMENTO DE PROTÓTIPOS...","Em breve este conteúdo estará disponível.","Roberto De Oliveira Magnago "
"EDUCAÇÃO ACADÊMICA E EXCELÊNCIA NO MERCADO: UM OLHAR SOBRE FERRAMENTAS DE MELHORIA DE PROCESSOS","Em breve este conteúdo estará disponível.","Wilma Clemente De Lima Pinto "
"CORROSÃO E PROTEÇÃO DOS METAIS: ABORDAGEM ELETROQUÍMICA POR MEIO DE ATIVIDADES EXPERIMENTAIS","Em breve este conteúdo estará disponível.","Wilma Clemente De Lima Pinto "
